"ocid","release_id","id","title","description","status","date","amount","currency","correctedValue_amount","correctedValue_currency","enteredValue_amount","enteredValue_currency","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays"
"ocds-5wno2w-CCD-FIAGPT-001-2023-892021","CCD-FIAGPT-001-2023-892021-2023-02-15T10:28:43.994Z-compiled","6198131-CCD-FIAGPT-001-2023","","El oferente cumple con los requisitos determinados en el proceso por la entidad contratante","","2023-02-14T16:21:00-05:00","1350.00","USD","","","","","","","",""
"ocds-5wno2w-CDC-EPAA-AA-001-2023-385668","CDC-EPAA-AA-001-2023-385668-2023-02-01T10:32:26.248Z-compiled","6193955-CDC-EPAA-AA-001-2023","","Cumple con los requerimientos solicitados por la empresa","","2023-01-31T18:17:54-05:00","15980.00","USD","","","","","","","",""
"ocds-5wno2w-CDC-GADPRB-001-2023-92600","CDC-GADPRB-001-2023-92600-2023-02-15T10:28:43.966Z-compiled","6197847-CDC-GADPRB-001-2023","","Cumple con todo lo solicitado por la entidad","","2023-02-14T12:34:57-05:00","3500.28","USD","","","","","","","",""
"ocds-5wno2w-CDC-EEPGSA-03-2023-3208","CDC-EEPGSA-03-2023-3208-2023-02-24T10:51:44.740Z-compiled","6197866-CDC-EEPGSA-03-2023","","Se adjudica en virtud de que cumple con todas las condiciones y términos de referencia establecidos en el pliego y de acuerdo a lo estipulado en la Resolución No-PE-029-2023","","2023-02-23T12:10:25-05:00","42910.00","USD","","","","","","","",""
"ocds-5wno2w-COTO-GADPT-001-2023-148834","COTO-GADPT-001-2023-148834-2023-02-01T10:32:25.537Z-compiled","6194175-COTO-GADPT-001-2023","","CUMPLE CON LOS PLIEGOS HY CON LA PUNTUACION DE LA CALIFICACION","","2023-01-31T15:57:29-05:00","350581.28","USD","","","","","","","",""
"ocds-5wno2w-COTS-GADPPM-002-2023-103556","COTS-GADPPM-002-2023-103556-2023-02-16T10:32:37.999Z-compiled","6201150-COTS-GADPPM-002-2023","","Cumple con lo solicitado y pliegos y TDRs","","2023-02-15T16:52:21-05:00","119771.56","USD","","","","","","","",""
"ocds-5wno2w-CLC-GADMY-001-2023-38149","CLC-GADMY-001-2023-38149-2023-02-28T10:45:40.826Z-compiled","6202207-CLC-GADMY-001-2023","","SE ADJUNTA DOCUMENTACION DE RESPALDO","","2023-02-27T08:08:03-05:00","167340.00","USD","","","","","","","",""
"ocds-5wno2w-MCBS-GADPRB-2023-001-119867","MCBS-GADPRB-2023-001-119867-2023-02-15T10:28:43.207Z-compiled","6195532-MCBS-GADPRB-2023-001","","De conformidad a los artículos 82, 83, 84, 85, y 86 del Reglamento General de la Ley Orgánica del Sistema Nacional de Contratación Pública el Delegado de la Máxima Autoridad recomienda HABILITAR la oferta de BARRERA VALLEJO AIDA AMPARITO por cumplir con la integridad de la oferta.","","","20000.00","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201171-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:21:29-05:00","417.00","USD","","","","","","","",""
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","6201172-LICS-GADMCA-001-2023","","Adjudicar el proceso de licitación de seguros signado con el Código N LICSGADMCA-001-2023, para la ?CONTRATACIÓN DE PÓLIZA DE SEGUROSTODO RIESGO DE INCENDIO Y LÍNEAS ALIADAS, ROBO, EQUIPOELECTRÓNICO, VEHÍCULOS EQUIPO Y MAQUINARIA, ROTURA DEMAQUINARIA, RESPONSABILIDAD CIVIL Y CASCO BUQUE, CASCO AEREOPARA LOS BIENES MUNICIPALES, Y POLIZAS DE FIDELIDAD PUBLICA Y SEGURODE VIDA PARA LOS SERVIDORES Y TRABAJADORES DEL GOBIERNOAUTÓNOMO DESCENTRALIZADO MUNICIPAL DEL CANTÓN AGUARICO?, ala compañía ASEGURADORA DEL SUR C.A. CON RUC N 0190123626001, porun valor de USD 80,753.12 Ochenta mil setecientos cincuenta y tres con 12/100dólares de los Estados Unidos de Norteamérica más IVA, con un plazo deejecución de 365 días calendarios contados desde las 12:00 el 27 de febrero de2023.","","2023-02-16T17:23:36-05:00","2825.36","USD","","","","","","","",""
