"ocid","release_id","id","awardID","title","description","status","contractPeriod_startDate","contractPeriod_endDate","contractPeriod_maxExtentDate","contractPeriod_durationInDays","amount","currency","dateSigned"
"ocds-5wno2w-CE-20230002322426-87397","CE-20230002322426-87397-2023-02-02T04:02:25.962Z","CE-20230002322426-contract","CE-20230002322426","","","terminated","","","","","","",""
"ocds-5wno2w-RE-CEP-IGM-001-2023-36136","RE-CEP-IGM-001-2023-36136-2023-02-01T10:32:22.619Z-compiled","2155164-RE-CEP-IGM-001-2023","6193962-RE-CEP-IGM-001-2023","","","terminated","2023-01-25T00:00:00-05:00","2023-02-04T00:00:00-05:00","","10","431945.29","USD","2023-01-25T00:00:00-05:00"
"ocds-5wno2w-CE-20230002321047-409148","CE-20230002321047-409148-2023-02-02T04:01:29.865Z","CE-20230002321047-contract","CE-20230002321047","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321584-115601","CE-20230002321584-115601-2023-02-02T04:01:54.624Z","CE-20230002321584-contract","CE-20230002321584","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321585-115601","CE-20230002321585-115601-2023-02-02T04:01:54.662Z","CE-20230002321585-contract","CE-20230002321585","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321586-115601","CE-20230002321586-115601-2023-02-02T04:01:54.681Z","CE-20230002321586-contract","CE-20230002321586","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321587-115601","CE-20230002321587-115601-2023-02-02T04:01:54.702Z","CE-20230002321587-contract","CE-20230002321587","","","terminated","","","","","","",""
"ocds-5wno2w-RE-DPEO-001-2023-105149","RE-DPEO-001-2023-105149-2023-02-12T10:42:23.239Z-compiled","2156714-RE-DPEO-001-2023","6196692-RE-DPEO-001-2023","","","terminated","2023-02-01T00:00:00-05:00","2023-12-31T00:00:00-05:00","","333","5346.00","USD","2023-02-01T00:00:00-05:00"
"ocds-5wno2w-RE-OACL-GADMM-1-2023-100467","RE-OACL-GADMM-1-2023-100467-2023-02-14T10:32:17.628Z-compiled","2156839-RE-OACL-GADMM-1-2023","6194307-RE-OACL-GADMM-1-2023","","","terminated","2023-02-09T00:00:00-05:00","2023-02-24T00:00:00-05:00","","15","16964.00","USD","2023-02-09T00:00:00-05:00"
"ocds-5wno2w-CE-20230002321588-115601","CE-20230002321588-115601-2023-02-02T04:01:54.722Z","CE-20230002321588-contract","CE-20230002321588","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321589-115601","CE-20230002321589-115601-2023-02-02T04:01:54.742Z","CE-20230002321589-contract","CE-20230002321589","","","terminated","","","","","","",""
"ocds-5wno2w-CE-20230002321590-115601","CE-20230002321590-115601-2023-02-02T04:01:54.762Z","CE-20230002321590-contract","CE-20230002321590","","","terminated","","","","","","",""
