"ocid","id","rationale","budget_id","budget_description","budget_amount","budget_currency"
"ocds-5wno2w-CCD-FPTCII-001-2023-891827","CCD-FPTCII-001-2023-891827-2023-02-01T10:32:42.838Z","CONTRATACIÓN DE UNA FIRMA AUDITORA EXTERNA PARA EXAMINAR LOS ESTADOS FINANCIEROS DEL FIDEICOMISO DE INVERSION Y ADMINISTRACION DE FLUJOS Y PAGOS – PROYECTO TERMOELECTRICO FASE II CELEC EP CORRESPONDIENTES AL EJERCICIO FISCAL DEL AÑO 2022","1.01.01.02.01.01","","950.00","USD"
"ocds-5wno2w-CCD-FIAGPT-001-2023-892021","CCD-FIAGPT-001-2023-892021-2023-02-15T10:28:43.994Z-compiled","CONTRATACIÓN DE UNA FIRMA AUDITORA EXTERNA PARA EXAMINAR LOS ESTADOS FINANCIEROS DEL FIDEICOMISO DE INVERSION, ADMINISTRACION, GARANTIA Y PAGO PROYECTO TOACHI PILATON CORRESPONDIENTES AL EJERCICIO FISCAL DEL AÑO 2022","1.01.01.02.01.01","","1350.00","USD"
"ocds-5wno2w-CDC-EPAA-AA-001-2023-385668","CDC-EPAA-AA-001-2023-385668-2023-02-01T10:32:26.248Z-compiled","CONSULTORÍA DE TRABAJOS TOPOGRÁFICOS EN EL CANTÓN ANTONIO ANTE PREVIO Y POST CONSTRUCCIÓN DE ALCANTARILLADO SANITARIO EN LAS DIFERENTES PARROQUIAS","6.3.06.01","","17000.00","USD"
"ocds-5wno2w-CDC-GADPRB-001-2023-92600","CDC-GADPRB-001-2023-92600-2023-02-15T10:28:43.966Z-compiled","Contratación de la consultoría de estudios estructurales, estudios de suelos para el Proyecto El Mirador “El Torreón” en la parroquia de Baños, cantón Cuenca, Provincia del Azuay.“","7.3.06.05.15","","3500.28","USD"
"ocds-5wno2w-CDC-EERSSA-003-2023-3240","CDC-EERSSA-003-2023-3240-2023-02-23T10:50:50.266Z-compiled","FISCALIZACIÓN DE LA INSTALACIÓN DEL SISTEMA CONTRA INCENDIOS EMERGENTE A BASE DE ESPUMA Y AGUA PARA COMBATIR INCENDIOS EN EL ÁREA DE ALMACENAMIENTO DE COMBUSTIBLE DE LA CENTRAL TÉRMICA CATAMAYO.","121.01.001.002.007","","18690.00","USD"
"ocds-5wno2w-CDC-EEPGSA-03-2023-3208","CDC-EEPGSA-03-2023-3208-2023-02-24T10:51:44.740Z-compiled","FISCALIZACIÓN DE LA CONSTRUCCIÓN INFRAESTRUCTURA CIVIL DESTINADA ALMACENAMIENTO DE DESECHOS PELIGROSOS Y OFICINAS EN LA CENTRAL ISABELA","1.2.1.01.02.01.03.07.17005.02.40","","42910.00","USD"
"ocds-5wno2w-COTO-GADPPz-001-2023-24084","COTO-GADPPz-001-2023-24084-2023-02-01T10:32:42.682Z","ASFALTADO CALLES DE LA PARROQUIA EL TRIUNFO, PARROQUIA EL TRIUNFO, CANTÓN PASTAZA, PROVINCIA DE PASTAZA","510.750105","","339217.17","USD"
"ocds-5wno2w-COTO-GADPT-001-2023-148834","COTO-GADPT-001-2023-148834-2023-02-01T10:32:25.537Z-compiled","DOBLE RIEGO ASFALTICO DE LA VIA DEL RECINTO EL PEDREGAL DE LA PARROQUIA TENGUEL PROVINCIA DEL GUAYAS","75.01.05","","361725.00","USD"
"ocds-5wno2w-COTS-GADPPM-002-2023-103556","COTS-GADPPM-002-2023-103556-2023-02-16T10:32:37.999Z-compiled","FESTIVIDADES CULTURALES Y TURÍSTICAS PARA EL FORTALECIMIENTO DE LA PARROQUIA MISAHUALLÍ, CANTÓN TENA","7302050","","165936.50","USD"
"ocds-5wno2w-CLC-GADMY-001-2023-38149","CLC-GADMY-001-2023-38149-2023-02-28T10:45:40.826Z-compiled","CONTRATACIÓN DE CONSULTORÍA PARA LOS ESTUDIOS PARA SISTEMAS DE AGUA POTABLE CUATRO Y ALCANTARILLADO SANITARIO O ALTERNATIVAS DE SANEAMIENTO SEIS PARA ALGUNOS BARRIOS DEL CANTÓN YANTZAZA PROVINCIA DE ZAMORA CHINCHIPE","7.3.06.01.10","","167345.47","USD"
"ocds-5wno2w-LCC-GADMAR-002-2023-38602","LCC-GADMAR-002-2023-38602-2023-02-01T10:32:42.919Z","PROYECTO DE MALECÓN TEMÁTICO DESDE EL PUENTE DE HIERRO HASTA LAS VILLAS MILITARES BI 1 CONSTITUCIÓN EN EL CANTÓN ARENILLAS","5.3.06.05","","115922.53","USD"
"ocds-5wno2w-LICO-GADMY-001-2023-38149","LICO-GADMY-001-2023-38149-2023-02-01T10:32:42.715Z","CONSTRUCCIÓN DE LA PRIMERA ETAPA DEL COMPLEJO DEPORTIVO RECREACIONAL DE LA CIUDAD DE YANTZAZA SECTOR 1 PARQUE ACUÁTICO CANTÓN YANTZAZA PROVINCIA DE ZAMORA CHINCHIPE","7.5.01.04.24","","2490390.29","USD"
"ocds-5wno2w-LICO-GADP-01-2022-2786","LICO-GADP-01-2022-2786-2023-02-01T10:32:42.438Z","REHABILITACIÓN DE LA CALLE AMBATO DESDE LA AVENIDA PLAZA ACOSTA HASTA LA CIUDADELA CIUDAD JARDÍN PERTENECIENTE AL CANTÓN PEDERNALES, PROVINCIA DE MANABÍ","750105","","1336706.72","USD"
"ocds-5wno2w-LICS-EMAPAGEP-1-2023-439831","LICS-EMAPAGEP-1-2023-439831-2023-02-01T10:32:42.231Z","LICITACION DE SEGUROS","11570201","","200625.84","USD"
"ocds-5wno2w-MCBS-GADPRB-2023-001-119867","MCBS-GADPRB-2023-001-119867-2023-02-15T10:28:43.207Z-compiled","SERVICIOS DE PROMOTOR Y ORGANIZACIÓN DE ACTIVIDADES CULTURALES Y TURÍSTICAS","7.3.02.05.01","","20000.00","USD"
"ocds-5wno2w-LICS-GADMCA-001-2023-2653","LICS-GADMCA-001-2023-2653-2023-02-17T10:46:26.185Z-compiled","CONTRATACIÓN DE PÓLIZA DE SEGUROS TODO RIESGO DE INCENDIO YLÍNEAS ALIADAS, ROBO, EQUIPO ELECTRÓNICO, VEHÍCULOS EQUIPO YMAQUINARIA, ROTURA DE MAQUINARIA, RESPONSABILIDAD CIVIL Y CASCOBUQUE, CASCO AÉREO PARA LOS BIENES MUNICIPALES, Y PÓLIZAS DEFIDELIDAD PÚBLICA Y SEGURO DE VIDA PARA LOS SERVIDORES YTRABAJADORES DEL GOBIERNO AUTÓNOMO DESCENTRALIZADOMUNICIPAL DEL CANTÓN AGUARICO","57.02.01","","87130.39","USD"
