"ocid","id","initiationType","buyer_id","buyer_name","language","date","tag"
"ocds-5wno2w-CCD-FPTCII-001-2023-891827","CCD-FPTCII-001-2023-891827-2023-02-01T10:32:42.838Z","tender","EC-RUC-1792328608001-891827","FIDEICOMISO DE INVERSION Y ADMINISTRACION DE FLUJOS Y PAGOS - PROYECTO TERMOELECTRICO FASE II - CELEC EP","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-CCD-FIAGPT-001-2023-892021","CCD-FIAGPT-001-2023-892021-2023-02-15T10:28:43.994Z-compiled","tender","EC-RUC-1792314429001-892021","FIDEICOMISO DE INVERSION, ADMINISTRACION, GARANTIA Y PAGO PROYECTO TOACHI PILATON","es","2023-02-15T05:29:23-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-CDC-EPAA-AA-001-2023-385668","CDC-EPAA-AA-001-2023-385668-2023-02-01T10:32:26.248Z-compiled","tender","EC-RUC-1060034240001-385668","EMPRESA PUBLICA DE AGUA POTABLE Y ALCANTARILLADO DE ANTONIO ANTE EPAA - EP","es","2023-02-01T05:32:44-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-CDC-GADPRB-001-2023-92600","CDC-GADPRB-001-2023-92600-2023-02-15T10:28:43.966Z-compiled","tender","EC-RUC-0160025420001-92600","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE BAÑOS","es","2023-02-15T05:29:24-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-CDC-EERSSA-003-2023-3240","CDC-EERSSA-003-2023-3240-2023-02-23T10:50:50.266Z-compiled","tender","EC-RUC-1190005646001-3240","EMPRESA ELECTRICA REGIONAL DEL SUR S.A.","es","2023-02-23T05:51:21-05:00","[""planning"",""tender""]"
"ocds-5wno2w-CDC-EEPGSA-03-2023-3208","CDC-EEPGSA-03-2023-3208-2023-02-24T10:51:44.740Z-compiled","tender","EC-RUC-0991500006001-3208","EMPRESA ELECTRICA PROVINCIAL GALAPAGOS S.A. ","es","2023-02-24T05:52:25-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-COTO-GADPPz-001-2023-24084","COTO-GADPPz-001-2023-24084-2023-02-01T10:32:42.682Z","tender","EC-RUC-1660000170001-24084","GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE PASTAZA","es","2023-01-31T00:00:00-05:00","[""planning""]"
"ocds-5wno2w-COTO-GADPT-001-2023-148834","COTO-GADPT-001-2023-148834-2023-02-01T10:32:25.537Z-compiled","tender","EC-RUC-0968541880001-148834","GOBIERNO AUTONOMO PARROQUIAL DE TENGUEL","es","2023-02-01T05:32:44-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-COTS-GADPPM-002-2023-103556","COTS-GADPPM-002-2023-103556-2023-02-16T10:32:37.999Z-compiled","tender","EC-RUC-1560507250001-103556","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PUERTO MISAHUALLI","es","2023-02-16T05:33:13-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-CLC-GADMY-001-2023-38149","CLC-GADMY-001-2023-38149-2023-02-28T10:45:40.826Z-compiled","tender","EC-RUC-1960000620001-38149","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE YANTZAZA","es","2023-02-28T05:46:37-05:00","[""planning"",""tender"",""award""]"
